lga_code19,year_month,MonthlyCases,CumulativeCases
11300,2020-01,1,1
11300,2020-02,0,1
11300,2020-03,5,6
11300,2020-04,2,8
11300,2020-05,0,8
11300,2020-06,0,8
11300,2020-07,0,8
11300,2020-08,1,9
11300,2020-09,4,13
11300,2020-10,1,14
11300,2020-11,0,14
11300,2020-12,5,19
11300,2021-01,0,19
11300,2021-02,0,19
11300,2021-03,0,19
11300,2021-04,1,20
11300,2021-05,0,20
11300,2021-06,0,20
11300,2021-07,14,34
11300,2021-08,34,68
11300,2021-09,110,178
11300,2021-10,12,190
11300,2021-11,8,198
11300,2021-12,552,750
11300,2022-01,2942,3692
11300,2022-02,196,3888
16260,2020-01,1,1
16260,2020-02,0,1
16260,2020-03,35,36
16260,2020-04,9,45
16260,2020-05,2,47
16260,2020-06,4,51
16260,2020-07,19,70
16260,2020-08,9,79
16260,2020-09,3,82
16260,2020-10,11,93
16260,2020-11,3,96
16260,2020-12,5,101
16260,2021-01,1,102
16260,2021-02,3,105
16260,2021-03,5,110
16260,2021-04,7,117
16260,2021-05,6,123
16260,2021-06,4,127
16260,2021-07,95,222
16260,2021-08,707,929
16260,2021-09,989,1918
16260,2021-10,146,2064
16260,2021-11,159,2223
16260,2021-12,3194,5417
16260,2022-01,17656,23073
16260,2022-02,1271,24344
14500,2020-01,1,1
14500,2020-02,0,1
14500,2020-03,48,49
14500,2020-04,20,69
14500,2020-05,3,72
14500,2020-06,1,73
14500,2020-07,1,74
14500,2020-08,8,82
14500,2020-09,5,87
14500,2020-10,2,89
14500,2020-11,0,89
14500,2020-12,4,93
14500,2021-01,2,95
14500,2021-02,0,95
14500,2021-03,2,97
14500,2021-04,3,100
14500,2021-05,3,103
14500,2021-06,4,107
14500,2021-07,1,108
14500,2021-08,29,137
14500,2021-09,80,217
14500,2021-10,15,232
14500,2021-11,36,268
14500,2021-12,1884,2152
14500,2022-01,8001,10153
14500,2022-02,770,10923
16550,2020-01,1,1
16550,2020-02,0,1
16550,2020-03,46,47
16550,2020-04,38,85
16550,2020-05,1,86
16550,2020-06,1,87
16550,2020-07,2,89
16550,2020-08,4,93
16550,2020-09,7,100
16550,2020-10,9,109
16550,2020-11,2,111
16550,2020-12,5,116
16550,2021-01,1,117
16550,2021-02,1,118
16550,2021-03,1,119
16550,2021-04,1,120
16550,2021-05,0,120
16550,2021-06,26,146
16550,2021-07,50,196
16550,2021-08,151,347
16550,2021-09,889,1236
16550,2021-10,195,1431
16550,2021-11,162,1593
16550,2021-12,4519,6112
16550,2022-01,15540,21652
16550,2022-02,1155,22807
14000,2020-01,0,0
14000,2020-02,0,0
14000,2020-03,44,44
14000,2020-04,14,58
14000,2020-05,0,58
14000,2020-06,1,59
14000,2020-07,0,59
14000,2020-08,9,68
14000,2020-09,1,69
14000,2020-10,0,69
14000,2020-11,4,73
14000,2020-12,4,77
14000,2021-01,3,80
14000,2021-02,1,81
14000,2021-03,1,82
14000,2021-04,0,82
14000,2021-05,0,82
14000,2021-06,0,82
14000,2021-07,6,88
14000,2021-08,53,141
14000,2021-09,169,310
14000,2021-10,24,334
14000,2021-11,24,358
14000,2021-12,1291,1649
14000,2022-01,7124,8773
14000,2022-02,755,9528
12850,2020-01,0,0
12850,2020-02,0,0
12850,2020-03,12,12
12850,2020-04,18,30
12850,2020-05,4,34
12850,2020-06,5,39
12850,2020-07,41,80
12850,2020-08,53,133
12850,2020-09,2,135
12850,2020-10,2,137
12850,2020-11,3,140
12850,2020-12,2,142
12850,2021-01,0,142
12850,2021-02,1,143
12850,2021-03,2,145
12850,2021-04,0,145
12850,2021-05,1,146
12850,2021-06,5,151
12850,2021-07,955,1106
12850,2021-08,1311,2417
12850,2021-09,1896,4313
12850,2021-10,442,4755
12850,2021-11,302,5057
12850,2021-12,4462,9519
12850,2022-01,24773,34292
12850,2022-02,1410,35702
10500,2020-01,0,0
10500,2020-02,0,0
10500,2020-03,40,40
10500,2020-04,27,67
10500,2020-05,0,67
10500,2020-06,0,67
10500,2020-07,5,72
10500,2020-08,1,73
10500,2020-09,4,77
10500,2020-10,3,80
10500,2020-11,2,82
10500,2020-12,1,83
10500,2021-01,3,86
10500,2021-02,1,87
10500,2021-03,3,90
10500,2021-04,0,90
10500,2021-05,2,92
10500,2021-06,12,104
10500,2021-07,76,180
10500,2021-08,339,519
10500,2021-09,847,1366
10500,2021-10,264,1630
10500,2021-11,119,1749
10500,2021-12,4489,6238
10500,2022-01,18169,24407
10500,2022-02,1211,25618
11570,2020-01,0,0
11570,2020-02,0,0
11570,2020-03,72,72
11570,2020-04,23,95
11570,2020-05,1,96
11570,2020-06,8,104
11570,2020-07,30,134
11570,2020-08,14,148
11570,2020-09,13,161
11570,2020-10,7,168
11570,2020-11,6,174
11570,2020-12,15,189
11570,2021-01,19,208
11570,2021-02,6,214
11570,2021-03,16,230
11570,2021-04,5,235
11570,2021-05,10,245
11570,2021-06,23,268
11570,2021-07,643,911
11570,2021-08,3691,4602
11570,2021-09,5741,10343
11570,2021-10,1208,11551
11570,2021-11,802,12353
11570,2021-12,9676,22029
11570,2022-01,43666,65695
11570,2022-02,2959,68654
16700,2020-01,0,0
16700,2020-02,0,0
16700,2020-03,57,57
16700,2020-04,13,70
16700,2020-05,0,70
16700,2020-06,0,70
16700,2020-07,3,73
16700,2020-08,1,74
16700,2020-09,0,74
16700,2020-10,2,76
16700,2020-11,0,76
16700,2020-12,3,79
16700,2021-01,2,81
16700,2021-02,0,81
16700,2021-03,3,84
16700,2021-04,4,88
16700,2021-05,1,89
16700,2021-06,4,93
16700,2021-07,15,108
16700,2021-08,138,246
16700,2021-09,206,452
16700,2021-10,59,511
16700,2021-11,40,551
16700,2021-12,1909,2460
16700,2022-01,9502,11962
16700,2022-02,744,12706
17420,2020-01,0,0
17420,2020-02,0,0
17420,2020-03,47,47
17420,2020-04,14,61
17420,2020-05,3,64
17420,2020-06,0,64
17420,2020-07,8,72
17420,2020-08,23,95
17420,2020-09,1,96
17420,2020-10,5,101
17420,2020-11,0,101
17420,2020-12,7,108
17420,2021-01,1,109
17420,2021-02,5,114
17420,2021-03,1,115
17420,2021-04,2,117
17420,2021-05,6,123
17420,2021-06,8,131
17420,2021-07,28,159
17420,2021-08,154,313
17420,2021-09,331,644
17420,2021-10,82,726
17420,2021-11,57,783
17420,2021-12,3421,4204
17420,2022-01,17064,21268
17420,2022-02,1359,22627
17150,2020-01,0,0
17150,2020-02,0,0
17150,2020-03,84,84
17150,2020-04,30,114
17150,2020-05,2,116
17150,2020-06,2,118
17150,2020-07,7,125
17150,2020-08,6,131
17150,2020-09,4,135
17150,2020-10,3,138
17150,2020-11,4,142
17150,2020-12,7,149
17150,2021-01,1,150
17150,2021-02,0,150
17150,2021-03,0,150
17150,2021-04,0,150
17150,2021-05,1,151
17150,2021-06,3,154
17150,2021-07,34,188
17150,2021-08,96,284
17150,2021-09,442,726
17150,2021-10,69,795
17150,2021-11,131,926
17150,2021-12,5443,6369
17150,2022-01,21761,28130
17150,2022-02,1801,29931
15990,2020-01,0,0
15990,2020-02,0,0
15990,2020-03,121,121
15990,2020-04,37,158
15990,2020-05,0,158
15990,2020-06,0,158
15990,2020-07,4,162
