lga_name19,quarter,cases,min_cases,max_cases,mean_cases,median_cases
Burwood (A),2020Q1,6,1.0,2.0,1.5,1.5
Burwood (A),2020Q2,2,1.0,1.0,1.0,1.0
Burwood (A),2020Q3,5,1.0,4.0,2.5,2.5
Burwood (A),2020Q4,6,1.0,4.0,2.0,1.0
Burwood (A),2021Q1,0,,,,
Burwood (A),2021Q2,1,1.0,1.0,1.0,1.0
Burwood (A),2021Q3,158,1.0,35.0,11.285714285714286,6.0
Burwood (A),2021Q4,572,1.0,380.0,47.666666666666664,4.0
Burwood (A),2022Q1,3138,36.0,1202.0,448.2857142857143,393.0
Parramatta (C),2020Q1,36,1.0,11.0,6.0,7.0
Parramatta (C),2020Q2,15,1.0,7.0,2.142857142857143,1.0
Parramatta (C),2020Q3,31,1.0,10.0,3.4444444444444446,2.0
Parramatta (C),2020Q4,19,1.0,4.0,2.375,2.5
Parramatta (C),2021Q1,9,1.0,2.0,1.2857142857142858,1.0
Parramatta (C),2021Q2,17,1.0,6.0,2.8333333333333335,3.0
Parramatta (C),2021Q3,1791,3.0,308.0,127.92857142857143,91.0
Parramatta (C),2021Q4,3499,19.0,2100.0,249.92857142857142,36.5
Parramatta (C),2022Q1,18927,260.0,6129.0,2703.8571428571427,2668.0
Ku-ring-gai (A),2020Q1,49,1.0,25.0,8.166666666666666,4.0
Ku-ring-gai (A),2020Q2,24,1.0,10.0,4.8,2.0
Ku-ring-gai (A),2020Q3,14,1.0,6.0,2.8,1.0
Ku-ring-gai (A),2020Q4,6,1.0,2.0,1.5,1.5
Ku-ring-gai (A),2021Q1,4,1.0,2.0,1.3333333333333333,1.0
Ku-ring-gai (A),2021Q2,10,1.0,3.0,2.0,2.0
Ku-ring-gai (A),2021Q3,110,1.0,34.0,11.0,8.5
Ku-ring-gai (A),2021Q4,1935,1.0,1210.0,138.21428571428572,6.0
Ku-ring-gai (A),2022Q1,8771,167.0,2721.0,1253.0,1271.0
Randwick (C),2020Q1,47,1.0,29.0,9.4,4.0
Randwick (C),2020Q2,40,1.0,18.0,6.666666666666667,2.5
Randwick (C),2020Q3,13,1.0,4.0,2.1666666666666665,2.0
Randwick (C),2020Q4,16,1.0,6.0,2.0,1.5
Randwick (C),2021Q1,3,1.0,1.0,1.0,1.0
Randwick (C),2021Q2,27,1.0,14.0,6.75,6.0
Randwick (C),2021Q3,1090,1.0,310.0,77.85714285714286,31.5
Randwick (C),2021Q4,4876,15.0,2769.0,348.2857142857143,52.5
Randwick (C),2022Q1,16695,254.0,6667.0,2385.0,1946.0
Hornsby (A),2020Q1,44,2.0,23.0,8.8,5.0
Hornsby (A),2020Q2,15,1.0,5.0,2.5,2.0
Hornsby (A),2020Q3,10,1.0,3.0,2.0,2.0
Hornsby (A),2020Q4,8,1.0,2.0,1.3333333333333333,1.0
Hornsby (A),2021Q1,5,1.0,2.0,1.25,1.0
Hornsby (A),2021Q2,0,,,,
Hornsby (A),2021Q3,228,1.0,51.0,20.727272727272727,23.0
Hornsby (A),2021Q4,1339,3.0,946.0,103.0,5.0
Hornsby (A),2022Q1,7879,192.0,1996.0,1125.5714285714287,1245.0
Fairfield (C),2020Q1,12,1.0,7.0,3.0,2.0
Fairfield (C),2020Q2,27,1.0,9.0,3.375,2.5
Fairfield (C),2020Q3,96,1.0,22.0,8.727272727272727,6.0
Fairfield (C),2020Q4,7,1.0,3.0,1.75,1.5
Fairfield (C),2021Q1,3,1.0,2.0,1.5,1.5
Fairfield (C),2021Q2,6,1.0,2.0,1.5,1.5
Fairfield (C),2021Q3,4162,10.0,576.0,297.2857142857143,284.5
Fairfield (C),2021Q4,5206,42.0,2834.0,371.85714285714283,109.0
Fairfield (C),2022Q1,26183,238.0,9120.0,3740.4285714285716,2424.0
Bayside (A),2020Q1,40,1.0,16.0,8.0,4.0
Bayside (A),2020Q2,27,3.0,15.0,9.0,9.0
Bayside (A),2020Q3,10,1.0,3.0,1.4285714285714286,1.0
Bayside (A),2020Q4,6,1.0,1.0,1.0,1.0
Bayside (A),2021Q1,7,1.0,3.0,1.4,1.0
Bayside (A),2021Q2,14,1.0,7.0,3.5,3.0
Bayside (A),2021Q3,1262,2.0,216.0,90.14285714285714,77.5
Bayside (A),2021Q4,4872,13.0,3062.0,348.0,44.5
Bayside (A),2022Q1,19380,227.0,7385.0,2768.5714285714284,2201.0
Canterbury-Bankstown (A),2020Q1,72,2.0,43.0,18.0,13.5
Canterbury-Bankstown (A),2020Q2,32,1.0,8.0,3.5555555555555554,3.0
Canterbury-Bankstown (A),2020Q3,57,1.0,11.0,4.75,3.0
Canterbury-Bankstown (A),2020Q4,28,1.0,6.0,2.5454545454545454,2.0
Canterbury-Bankstown (A),2021Q1,41,1.0,9.0,4.555555555555555,4.0
Canterbury-Bankstown (A),2021Q2,38,1.0,13.0,3.4545454545454546,2.0
Canterbury-Bankstown (A),2021Q3,10075,8.0,1810.0,719.6428571428571,481.0
Canterbury-Bankstown (A),2021Q4,11686,120.0,5954.0,834.7142857142857,256.0
Canterbury-Bankstown (A),2022Q1,46625,668.0,15348.0,6660.714285714285,5517.0
Ryde (C),2020Q1,57,4.0,30.0,11.4,8.0
Ryde (C),2020Q2,13,2.0,7.0,4.333333333333333,4.0
Ryde (C),2020Q3,4,1.0,2.0,1.3333333333333333,1.0
Ryde (C),2020Q4,5,1.0,2.0,1.25,1.0
Ryde (C),2021Q1,5,1.0,1.0,1.0,1.0
Ryde (C),2021Q2,9,1.0,2.0,1.125,1.0
Ryde (C),2021Q3,359,1.0,54.0,29.916666666666668,27.0
Ryde (C),2021Q4,2008,4.0,1197.0,143.42857142857142,12.0
Ryde (C),2022Q1,10246,148.0,3230.0,1463.7142857142858,1411.0
The Hills Shire (A),2020Q1,47,1.0,24.0,9.4,8.0
The Hills Shire (A),2020Q2,17,1.0,9.0,2.4285714285714284,1.0
The Hills Shire (A),2020Q3,32,1.0,15.0,4.0,2.0
The Hills Shire (A),2020Q4,12,1.0,3.0,1.3333333333333333,1.0
The Hills Shire (A),2021Q1,7,1.0,4.0,1.75,1.0
The Hills Shire (A),2021Q2,16,1.0,3.0,1.7777777777777777,2.0
The Hills Shire (A),2021Q3,513,1.0,90.0,36.642857142857146,28.5
The Hills Shire (A),2021Q4,3560,7.0,2540.0,254.28571428571428,18.5
The Hills Shire (A),2022Q1,18423,317.0,5717.0,2631.8571428571427,2609.0
Sutherland Shire (A),2020Q1,84,3.0,43.0,16.8,9.0
Sutherland Shire (A),2020Q2,34,2.0,16.0,6.8,3.0
Sutherland Shire (A),2020Q3,17,1.0,4.0,1.5454545454545454,1.0
Sutherland Shire (A),2020Q4,14,1.0,3.0,1.5555555555555556,1.0
Sutherland Shire (A),2021Q1,1,1.0,1.0,1.0,1.0
Sutherland Shire (A),2021Q2,4,1.0,3.0,2.0,2.0
Sutherland Shire (A),2021Q3,572,3.0,124.0,44.0,20.0
Sutherland Shire (A),2021Q4,5643,7.0,4014.0,403.07142857142856,21.5
Sutherland Shire (A),2022Q1,23562,401.0,7468.0,3366.0,3514.0
Northern Beaches (A),2020Q1,121,2.0,66.0,24.2,23.0
Northern Beaches (A),2020Q2,37,1.0,19.0,7.4,4.0
Northern Beaches (A),2020Q3,9,1.0,2.0,1.2857142857142858,1.0
Northern Beaches (A),2020Q4,116,1.0,61.0,16.571428571428573,3.0
Northern Beaches (A),2021Q1,8,1.0,4.0,2.0,1.5
Northern Beaches (A),2021Q2,1,1.0,1.0,1.0,1.0
Northern Beaches (A),2021Q3,408,4.0,107.0,34.0,17.0
Northern Beaches (A),2021Q4,3954,17.0,2465.0,304.15384615384613,38.0
Northern Beaches (A),2022Q1,27421,505.0,7691.0,3917.285714285714,4392.0
Sydney (C),2020Q1,111,1.0,55.0,22.2,15.0
Sydney (C),2020Q2,52,1.0,31.0,7.428571428571429,2.0
Sydney (C),2020Q3,29,1.0,8.0,3.2222222222222223,3.0
Sydney (C),2020Q4,22,1.0,5.0,2.75,2.0
Sydney (C),2021Q1,4,1.0,1.0,1.0,1.0
Sydney (C),2021Q2,24,1.0,13.0,3.0,1.0
Sydney (C),2021Q3,1742,5.0,436.0,124.42857142857143,35.0
Sydney (C),2021Q4,8975,30.0,4526.0,641.0714285714286,54.5
Sydney (C),2022Q1,23138,207.0,10223.0,3305.4285714285716,2411.0
Goulburn Mulwaree (A),2020Q1,8,1.0,6.0,2.6666666666666665,1.0
Goulburn Mulwaree (A),2020Q2,2,2.0,2.0,2.0,2.0
Goulburn Mulwaree (A),2020Q3,0,,,,
Goulburn Mulwaree (A),2020Q4,3,1.0,1.0,1.0,1.0
Goulburn Mulwaree (A),2021Q1,0,,,,
Goulburn Mulwaree (A),2021Q2,0,,,,
Goulburn Mulwaree (A),2021Q3,52,1.0,20.0,8.666666666666666,5.0
Goulburn Mulwaree (A),2021Q4,181,1.0,117.0,25.857142857142858,9.0
Goulburn Mulwaree (A),2022Q1,1784,24.0,458.0,254.85714285714286,300.0
Cumberland (A),2020Q1,46,1.0,21.0,9.2,11.0
Cumberland (A),2020Q2,43,1.0,15.0,4.3,3.0
Cumberland (A),2020Q3,69,1.0,13.0,5.75,4.0
Cumberland (A),2020Q4,37,1.0,9.0,2.8461538461538463,2.0
Cumberland (A),2021Q1,31,1.0,10.0,3.1,1.0
Cumberland (A),2021Q2,40,2.0,6.0,3.3333333333333335,3.0
Cumberland (A),2021Q3,8207,4.0,1678.0,586.2142857142857,364.5
Cumberland (A),2021Q4,6762,30.0,3332.0,483.0,137.0
Cumberland (A),2022Q1,33580,458.0,11494.0,4797.142857142857,4056.0
,2020Q1,0,,,,
,2020Q2,0,,,,
,2020Q3,0,,,,
,2020Q4,0,,,,
,2021Q1,0,,,,
,2021Q2,0,,,,
,2021Q3,0,,,,
,2021Q4,0,,,,
,2022Q1,0,,,,
Woollahra (A),2020Q1,84,7.0,35.0,21.0,21.0
Woollahra (A),2020Q2,10,1.0,5.0,2.5,2.0
Woollahra (A),2020Q3,8,1.0,3.0,2.0,2.0
Woollahra (A),2020Q4,9,1.0,6.0,2.25,1.0
Woollahra (A),2021Q1,10,1.0,4.0,2.5,2.5
Woollahra (A),2021Q2,17,1.0,9.0,4.25,3.5
Woollahra (A),2021Q3,133,2.0,33.0,11.083333333333334,8.0
Woollahra (A),2021Q4,1735,4.0,879.0,123.92857142857143,13.5
Woollahra (A),2022Q1,4921,88.0,1947.0,703.0,643.0
Liverpool (C),2020Q1,32,2.0,21.0,8.0,4.5
Liverpool (C),2020Q2,20,1.0,13.0,4.0,1.0
Liverpool (C),2020Q3,61,1.0,19.0,5.083333333333333,2.5
Liverpool (C),2020Q4,23,1.0,5.0,2.5555555555555554,2.0
Liverpool (C),2021Q1,5,1.0,2.0,1.25,1.0
Liverpool (C),2021Q2,33,1.0,15.0,3.6666666666666665,1.0
Liverpool (C),2021Q3,4823,1.0,904.0,344.5,219.0
Liverpool (C),2021Q4,5979,55.0,3231.0,427.07142857142856,150.5
Liverpool (C),2022Q1,30829,408.0,9788.0,4404.142857142857,3485.0
Blue Mountains (C),2020Q1,20,2.0,11.0,5.0,3.5
Blue Mountains (C),2020Q2,7,1.0,3.0,1.75,1.5
Blue Mountains (C),2020Q3,11,1.0,4.0,2.75,3.0
Blue Mountains (C),2020Q4,0,,,,
Blue Mountains (C),2021Q1,1,1.0,1.0,1.0,1.0
Blue Mountains (C),2021Q2,0,,,,
Blue Mountains (C),2021Q3,149,2.0,29.0,14.9,14.0
Blue Mountains (C),2021Q4,632,2.0,379.0,45.142857142857146,6.0
Blue Mountains (C),2022Q1,4986,54.0,1249.0,712.2857142857143,868.0
Willoughby (C),2020Q1,20,2.0,10.0,5.0,4.0
Willoughby (C),2020Q2,3,1.0,2.0,1.5,1.5
Willoughby (C),2020Q3,4,1.0,1.0,1.0,1.0
Willoughby (C),2020Q4,1,1.0,1.0,1.0,1.0
Willoughby (C),2021Q1,2,1.0,1.0,1.0,1.0
