lga_name19,min_cases,max_cases,mean_cases,median_cases
Albury (C),0,4056,549.4444444444445,3.0
All NSW,0,759518,54078.444444444445,183.0
Armidale Regional (A),0,2099,251.44444444444446,1.0
Ballina (A),0,3407,419.44444444444446,4.0
Balranald (A),0,133,17.22222222222222,0.0
Bathurst Regional (A),0,3354,400.8888888888889,0.0
Bayside (A),6,19380,2846.4444444444443,27.0
Bega Valley (A),0,1616,189.33333333333334,0.0
Bellingen (A),0,611,78.88888888888889,0.0
Berrigan (A),0,345,40.888888888888886,0.0
Blacktown (C),18,47601,6866.555555555556,65.0
Bland (A),0,261,29.333333333333332,0.0
Blayney (A),0,452,53.888888888888886,0.0
Blue Mountains (C),0,4986,645.1111111111111,11.0
Bogan (A),0,117,14.333333333333334,0.0
Bourke (A),0,161,36.333333333333336,0.0
Brewarrina (A),0,64,9.11111111111111,0.0
Broken Hill (C),0,526,79.66666666666667,1.0
Burwood (A),0,3138,432.0,6.0
Byron (A),0,4142,617.4444444444445,2.0
Cabonne (A),0,543,72.55555555555556,2.0
Camden (A),1,13321,1838.111111111111,26.0
Campbelltown (C) (NSW),9,22022,3131.3333333333335,27.0
Canada Bay (A),1,7649,1114.7777777777778,15.0
Canterbury-Bankstown (A),28,46625,7628.222222222223,57.0
Carrathool (A),0,79,10.222222222222221,0.0
Central Coast (C) (NSW),0,30389,3970.4444444444443,24.0
Central Darling (A),0,149,29.333333333333332,0.0
Cessnock (C),0,5309,732.4444444444445,5.0
Clarence Valley (A),0,2632,318.6666666666667,0.0
Cobar (A),0,213,26.0,0.0
Coffs Harbour (C),0,5598,686.2222222222222,9.0
Coolamon (A),0,257,29.444444444444443,0.0
Coonamble (A),0,244,29.88888888888889,0.0
Cootamundra-Gundagai Regional (A),0,503,59.22222222222222,0.0
Correctional settings,0,1054,174.44444444444446,0.0
Cowra (A),0,462,61.333333333333336,0.0
Cumberland (A),31,33580,5423.888888888889,46.0
Dubbo Regional (A),0,4411,639.0,3.0
Dungog (A),0,550,69.0,1.0
Edward River (A),0,313,38.333333333333336,0.0
Eurobodalla (A),0,1756,207.11111111111111,7.0
Fairfield (C),3,26183,3966.8888888888887,27.0
Federation (A),0,771,93.88888888888889,0.0
Forbes (A),0,468,54.44444444444444,0.0
Georges River (A),4,16431,2385.5555555555557,25.0
Gilgandra (A),0,209,25.11111111111111,0.0
Glen Innes Severn (A),0,376,43.666666666666664,1.0
