lga_name19,quarter,week,cases
Burwood (A),2020Q1,2020-W01,0
Burwood (A),2020Q1,2020-W02,0
Burwood (A),2020Q1,2020-W03,1
Burwood (A),2020Q1,2020-W04,0
Burwood (A),2020Q1,2020-W05,0
Burwood (A),2020Q1,2020-W06,0
Burwood (A),2020Q1,2020-W07,0
Burwood (A),2020Q1,2020-W08,0
Burwood (A),2020Q1,2020-W09,0
Burwood (A),2020Q1,2020-W10,0
Burwood (A),2020Q1,2020-W11,1
Burwood (A),2020Q1,2020-W12,2
Burwood (A),2020Q1,2020-W13,2
Burwood (A),2020Q2,2020-W14,1
Burwood (A),2020Q2,2020-W15,0
Burwood (A),2020Q2,2020-W16,0
Burwood (A),2020Q2,2020-W17,0
Burwood (A),2020Q2,2020-W18,0
Burwood (A),2020Q2,2020-W19,0
Burwood (A),2020Q2,2020-W20,0
Burwood (A),2020Q2,2020-W21,0
Burwood (A),2020Q2,2020-W22,0
Burwood (A),2020Q2,2020-W23,0
Burwood (A),2020Q2,2020-W24,0
Burwood (A),2020Q2,2020-W25,0
Burwood (A),2020Q2,2020-W26,0
Burwood (A),2020Q3,2020-W27,0
Burwood (A),2020Q3,2020-W28,0
Burwood (A),2020Q3,2020-W29,0
Burwood (A),2020Q3,2020-W30,0
Burwood (A),2020Q3,2020-W31,0
Burwood (A),2020Q3,2020-W32,0
Burwood (A),2020Q3,2020-W33,0
Burwood (A),2020Q3,2020-W34,1
Burwood (A),2020Q3,2020-W35,0
Burwood (A),2020Q3,2020-W36,4
Burwood (A),2020Q3,2020-W37,0
Burwood (A),2020Q3,2020-W38,0
Burwood (A),2020Q3,2020-W39,0
Burwood (A),2020Q4,2020-W40,0
Burwood (A),2020Q4,2020-W41,0
Burwood (A),2020Q4,2020-W42,1
Burwood (A),2020Q4,2020-W43,0
Burwood (A),2020Q4,2020-W44,0
Burwood (A),2020Q4,2020-W45,0
Burwood (A),2020Q4,2020-W46,0
Burwood (A),2020Q4,2020-W47,0
Burwood (A),2020Q4,2020-W48,0
Burwood (A),2020Q4,2020-W49,0
Burwood (A),2020Q4,2020-W50,0
Burwood (A),2020Q4,2020-W51,1
Burwood (A),2020Q4,2020-W52,4
Burwood (A),2021Q1,2021-W01,0
Burwood (A),2021Q1,2021-W02,0
Burwood (A),2021Q1,2021-W03,0
Burwood (A),2021Q1,2021-W04,0
Burwood (A),2021Q1,2021-W05,0
Burwood (A),2021Q1,2021-W06,0
Burwood (A),2021Q1,2021-W07,0
Burwood (A),2021Q1,2021-W08,0
Burwood (A),2021Q1,2021-W09,0
Burwood (A),2021Q1,2021-W10,0
Burwood (A),2021Q1,2021-W11,0
Burwood (A),2021Q1,2021-W12,0
Burwood (A),2021Q1,2021-W13,0
Burwood (A),2021Q2,2021-W14,0
Burwood (A),2021Q2,2021-W15,1
Burwood (A),2021Q2,2021-W16,0
Burwood (A),2021Q2,2021-W17,0
Burwood (A),2021Q2,2021-W18,0
Burwood (A),2021Q2,2021-W19,0
Burwood (A),2021Q2,2021-W20,0
Burwood (A),2021Q2,2021-W21,0
Burwood (A),2021Q2,2021-W22,0
Burwood (A),2021Q2,2021-W23,0
Burwood (A),2021Q2,2021-W24,0
Burwood (A),2021Q2,2021-W25,0
Burwood (A),2021Q2,2021-W26,0
Burwood (A),2021Q3,2021-W27,4
Burwood (A),2021Q3,2021-W28,1
Burwood (A),2021Q3,2021-W29,5
Burwood (A),2021Q3,2021-W30,2
Burwood (A),2021Q3,2021-W31,6
Burwood (A),2021Q3,2021-W32,6
Burwood (A),2021Q3,2021-W33,12
Burwood (A),2021Q3,2021-W34,7
Burwood (A),2021Q3,2021-W35,17
Burwood (A),2021Q3,2021-W36,29
Burwood (A),2021Q3,2021-W37,35
Burwood (A),2021Q3,2021-W38,26
Burwood (A),2021Q3,2021-W39,6
Burwood (A),2021Q4,2021-W40,6
Burwood (A),2021Q4,2021-W41,4
Burwood (A),2021Q4,2021-W42,0
Burwood (A),2021Q4,2021-W43,1
Burwood (A),2021Q4,2021-W44,2
Burwood (A),2021Q4,2021-W45,4
Burwood (A),2021Q4,2021-W46,1
Burwood (A),2021Q4,2021-W47,0
Burwood (A),2021Q4,2021-W48,3
Burwood (A),2021Q4,2021-W49,8
Burwood (A),2021Q4,2021-W50,14
Burwood (A),2021Q4,2021-W51,148
Burwood (A),2021Q4,2021-W52,380
Burwood (A),2022Q1,2022-W01,1202
Burwood (A),2022Q1,2022-W02,704
Burwood (A),2022Q1,2022-W03,482
Burwood (A),2022Q1,2022-W04,393
Burwood (A),2022Q1,2022-W05,225
Burwood (A),2022Q1,2022-W06,36
Burwood (A),2022Q1,2022-W07,0
Burwood (A),2022Q1,2022-W08,0
Burwood (A),2022Q1,2022-W09,0
Burwood (A),2022Q1,2022-W10,0
Burwood (A),2022Q1,2022-W11,0
Burwood (A),2022Q1,2022-W12,0
Burwood (A),2022Q1,2022-W13,0
Parramatta (C),2020Q1,2020-W01,0
Parramatta (C),2020Q1,2020-W02,0
Parramatta (C),2020Q1,2020-W03,1
Parramatta (C),2020Q1,2020-W04,0
Parramatta (C),2020Q1,2020-W05,0
Parramatta (C),2020Q1,2020-W06,0
Parramatta (C),2020Q1,2020-W07,0
Parramatta (C),2020Q1,2020-W08,0
Parramatta (C),2020Q1,2020-W09,2
Parramatta (C),2020Q1,2020-W10,8
Parramatta (C),2020Q1,2020-W11,8
Parramatta (C),2020Q1,2020-W12,11
Parramatta (C),2020Q1,2020-W13,6
Parramatta (C),2020Q2,2020-W14,2
Parramatta (C),2020Q2,2020-W15,0
Parramatta (C),2020Q2,2020-W16,0
Parramatta (C),2020Q2,2020-W17,0
Parramatta (C),2020Q2,2020-W18,1
Parramatta (C),2020Q2,2020-W19,1
Parramatta (C),2020Q2,2020-W20,0
Parramatta (C),2020Q2,2020-W21,0
Parramatta (C),2020Q2,2020-W22,1
Parramatta (C),2020Q2,2020-W23,0
Parramatta (C),2020Q2,2020-W24,0
Parramatta (C),2020Q2,2020-W25,1
Parramatta (C),2020Q2,2020-W26,2
Parramatta (C),2020Q3,2020-W27,1
Parramatta (C),2020Q3,2020-W28,2
Parramatta (C),2020Q3,2020-W29,8
Parramatta (C),2020Q3,2020-W30,10
Parramatta (C),2020Q3,2020-W31,3
Parramatta (C),2020Q3,2020-W32,3
Parramatta (C),2020Q3,2020-W33,0
Parramatta (C),2020Q3,2020-W34,1
Parramatta (C),2020Q3,2020-W35,0
Parramatta (C),2020Q3,2020-W36,2
Parramatta (C),2020Q3,2020-W37,1
Parramatta (C),2020Q3,2020-W38,0
Parramatta (C),2020Q3,2020-W39,0
Parramatta (C),2020Q4,2020-W40,4
Parramatta (C),2020Q4,2020-W41,3
Parramatta (C),2020Q4,2020-W42,3
Parramatta (C),2020Q4,2020-W43,1
Parramatta (C),2020Q4,2020-W44,0
Parramatta (C),2020Q4,2020-W45,2
Parramatta (C),2020Q4,2020-W46,0
Parramatta (C),2020Q4,2020-W47,0
Parramatta (C),2020Q4,2020-W48,2
Parramatta (C),2020Q4,2020-W49,3
Parramatta (C),2020Q4,2020-W50,0
Parramatta (C),2020Q4,2020-W51,1
Parramatta (C),2020Q4,2020-W52,0
Parramatta (C),2021Q1,2021-W01,1
Parramatta (C),2021Q1,2021-W02,0
Parramatta (C),2021Q1,2021-W03,0
Parramatta (C),2021Q1,2021-W04,0
Parramatta (C),2021Q1,2021-W05,2
Parramatta (C),2021Q1,2021-W06,0
Parramatta (C),2021Q1,2021-W07,0
Parramatta (C),2021Q1,2021-W08,1
Parramatta (C),2021Q1,2021-W09,1
Parramatta (C),2021Q1,2021-W10,2
Parramatta (C),2021Q1,2021-W11,0
Parramatta (C),2021Q1,2021-W12,1
Parramatta (C),2021Q1,2021-W13,1
Parramatta (C),2021Q2,2021-W14,0
Parramatta (C),2021Q2,2021-W15,1
Parramatta (C),2021Q2,2021-W16,3
Parramatta (C),2021Q2,2021-W17,3
Parramatta (C),2021Q2,2021-W18,6
Parramatta (C),2021Q2,2021-W19,0
Parramatta (C),2021Q2,2021-W20,0
Parramatta (C),2021Q2,2021-W21,0
Parramatta (C),2021Q2,2021-W22,0
Parramatta (C),2021Q2,2021-W23,1
Parramatta (C),2021Q2,2021-W24,0
Parramatta (C),2021Q2,2021-W25,0
Parramatta (C),2021Q2,2021-W26,3
Parramatta (C),2021Q3,2021-W27,7
Parramatta (C),2021Q3,2021-W28,7
Parramatta (C),2021Q3,2021-W29,30
Parramatta (C),2021Q3,2021-W30,48
Parramatta (C),2021Q3,2021-W31,86
Parramatta (C),2021Q3,2021-W32,96
Parramatta (C),2021Q3,2021-W33,158
Parramatta (C),2021Q3,2021-W34,261
Parramatta (C),2021Q3,2021-W35,302
Parramatta (C),2021Q3,2021-W36,308
Parramatta (C),2021Q3,2021-W37,247
Parramatta (C),2021Q3,2021-W38,153
Parramatta (C),2021Q3,2021-W39,85
Parramatta (C),2021Q4,2021-W40,33
Parramatta (C),2021Q4,2021-W41,38
Parramatta (C),2021Q4,2021-W42,24
Parramatta (C),2021Q4,2021-W43,19
Parramatta (C),2021Q4,2021-W44,29
Parramatta (C),2021Q4,2021-W45,25
Parramatta (C),2021Q4,2021-W46,35
Parramatta (C),2021Q4,2021-W47,58
Parramatta (C),2021Q4,2021-W48,51
Parramatta (C),2021Q4,2021-W49,64
Parramatta (C),2021Q4,2021-W50,227
Parramatta (C),2021Q4,2021-W51,770
Parramatta (C),2021Q4,2021-W52,2100
Parramatta (C),2022Q1,2022-W01,6129
Parramatta (C),2022Q1,2022-W02,4416
Parramatta (C),2022Q1,2022-W03,3277
Parramatta (C),2022Q1,2022-W04,2668
Parramatta (C),2022Q1,2022-W05,1596
Parramatta (C),2022Q1,2022-W06,260
Parramatta (C),2022Q1,2022-W07,0
Parramatta (C),2022Q1,2022-W08,0
Parramatta (C),2022Q1,2022-W09,0
Parramatta (C),2022Q1,2022-W10,0
Parramatta (C),2022Q1,2022-W11,0
Parramatta (C),2022Q1,2022-W12,0
Parramatta (C),2022Q1,2022-W13,0
Ku-ring-gai (A),2020Q1,2020-W01,0
Ku-ring-gai (A),2020Q1,2020-W02,0
Ku-ring-gai (A),2020Q1,2020-W03,1
Ku-ring-gai (A),2020Q1,2020-W04,0
Ku-ring-gai (A),2020Q1,2020-W05,0
Ku-ring-gai (A),2020Q1,2020-W06,0
Ku-ring-gai (A),2020Q1,2020-W07,0
Ku-ring-gai (A),2020Q1,2020-W08,0
Ku-ring-gai (A),2020Q1,2020-W09,1
Ku-ring-gai (A),2020Q1,2020-W10,1
Ku-ring-gai (A),2020Q1,2020-W11,14
Ku-ring-gai (A),2020Q1,2020-W12,25
Ku-ring-gai (A),2020Q1,2020-W13,7
Ku-ring-gai (A),2020Q2,2020-W14,10
Ku-ring-gai (A),2020Q2,2020-W15,0
Ku-ring-gai (A),2020Q2,2020-W16,0
Ku-ring-gai (A),2020Q2,2020-W17,1
Ku-ring-gai (A),2020Q2,2020-W18,0
Ku-ring-gai (A),2020Q2,2020-W19,0
Ku-ring-gai (A),2020Q2,2020-W20,2
Ku-ring-gai (A),2020Q2,2020-W21,0
Ku-ring-gai (A),2020Q2,2020-W22,0
Ku-ring-gai (A),2020Q2,2020-W23,0
Ku-ring-gai (A),2020Q2,2020-W24,0
Ku-ring-gai (A),2020Q2,2020-W25,1
Ku-ring-gai (A),2020Q2,2020-W26,0
Ku-ring-gai (A),2020Q3,2020-W27,1
Ku-ring-gai (A),2020Q3,2020-W28,0
Ku-ring-gai (A),2020Q3,2020-W29,0
Ku-ring-gai (A),2020Q3,2020-W30,0
Ku-ring-gai (A),2020Q3,2020-W31,0
Ku-ring-gai (A),2020Q3,2020-W32,1
Ku-ring-gai (A),2020Q3,2020-W33,0
Ku-ring-gai (A),2020Q3,2020-W34,6
Ku-ring-gai (A),2020Q3,2020-W35,5
Ku-ring-gai (A),2020Q3,2020-W36,1
Ku-ring-gai (A),2020Q3,2020-W37,0
Ku-ring-gai (A),2020Q3,2020-W38,0
Ku-ring-gai (A),2020Q3,2020-W39,0
Ku-ring-gai (A),2020Q4,2020-W40,0
Ku-ring-gai (A),2020Q4,2020-W41,2
Ku-ring-gai (A),2020Q4,2020-W42,0
Ku-ring-gai (A),2020Q4,2020-W43,0
Ku-ring-gai (A),2020Q4,2020-W44,0
Ku-ring-gai (A),2020Q4,2020-W45,0
Ku-ring-gai (A),2020Q4,2020-W46,0
Ku-ring-gai (A),2020Q4,2020-W47,0
Ku-ring-gai (A),2020Q4,2020-W48,0
Ku-ring-gai (A),2020Q4,2020-W49,1
